Session;N_Antagene;Type analyse;Tri;N° Animal 2020;Sexe;Assignation espèce;N_tube ANTAGENE;date_relev;trace_sour;date_creat;nom_maille;id_lot;cod_maille;observateur;commune;lieu-dit;altitude;X;Y;Informations supplémentaires
S04_2020;LOT128;lot;3-Exploitable;S04-127;Femelle;europaeus;550074;2020/03/04 13:17:12.000;38;2020-04-20;villard;108201;villard_38;;;;;;;
S04_2020;LOT129;lot;3-Exploitable;S04-128;Femelle;europaeus;550061;2020/03/04 08:39:03.000;38;2020-04-20;villard;108778;villard_38;;;;;;;
S04_2020;LOT130;lot;3-Exploitable;S04-129;Femelle;europaeus;550111;2020/03/11 08:23:36.000;27;2020-04-20;serre;112264;serre_27;;;;;;;
S04_2020;LOT131;lot;3-Exploitable;S04-130;Mâle;europaeus;630587;2020/03/11 08:43:20.000;27;2020-04-20;serre;112265;serre_27;;;;;;;
S04_2020;LOT132;lot;1-Non exploitable;NA;-;NA;550097;2020/03/11 13:39:06.000;27;2020-04-20;serre;112266;serre_27;;;;;;;
S04_2020;LOT133;lot;1-Non exploitable;NA;-;NA;550101;2020/03/11 13:10:57.000;27;2020-04-20;serre;112267;serre_27;;;;;;;
S04_2020;LOT134;lot;1-Non exploitable;NA;-;NA;630596;2020/03/11 13:03:49.000;27;2020-04-20;serre;112268;serre_27;;;;;;;
S04_2020;LOT135;lot;1-Non exploitable;NA;-;NA;630602;2020/03/11 10:11:30.000;27;2020-04-20;serre;112272;serre_27;;;;;;;
S04_2020;LOT136;lot;3-Exploitable;S04-131;Mâle;timidus;630598;2020/03/11 13:03:48.000;27;2020-04-20;serre;114596;serre_27;;;;;;;
S04_2020;LOT137;lot;3-Exploitable;S04-132;Mâle;timidus;630536;2020/03/11 09:59:24.000;27;2020-04-20;serre;115173;serre_27;;;;;;;
S04_2020;LOT138;lot;3-Exploitable;S04-133;Femelle;timidus;550112;2020/03/11 10:01:53.000;27;2020-04-20;serre;115754;serre_27;;;;;;;
S04_2020;LOT139;lot;3-Exploitable;S04-042;Mâle;timidus;656167;2020/01/21 12:07:28.000;8;2020-04-20;scluos;116511;scluos_8;;;;;;;
S04_2020;LOT140;lot;3-Exploitable;S04-134;Mâle;timidus;655664;2020/03/11 12:45:55.000;8;2020-04-20;scluos;117093;scluos_8;;;;;;;
S04_2020;LOT141;lot;3-Exploitable;S04-039;Mâle;timidus;656165;2020/01/21 13:45:28.000;8;2020-04-20;scluos;119418;scluos_8;;;;;;;
S04_2020;LOT142;lot;3-Exploitable;S04-135;Mâle;timidus;626120;2020/03/11 11:39:41.000;8;2020-04-20;scluos;119420;scluos_8;;;;;;;
S04_2020;LOT143;lot;3-Exploitable;S04-136;Mâle;timidus;655663;2020-01-30 10:38:49;45;2020-04-20;barn;122331;barn_45;;;;;;;
S04_2020;LOT144;lot;3-Exploitable;S04-048;Mâle;timidus;655658;2020/01/23 14:31:20.000;46;2020-04-20;adus;122333;adus_46;;;;;;;
S04_2020;LOT145;lot;3-Exploitable;S04-049;Mâle;timidus;630363;2020/03/09 00:00:00.000;5;2020-04-20;laupon;122675;laupon_5;;;;;;;
S04_2020;LOT146;lot;3-Exploitable;S04-048;Mâle;timidus;655652;2020/01/23 14:31:20.000;46;2020-04-20;adus;122914;adus_46;;;;;;;
S04_2020;LOT147;lot;3-Exploitable;S04-050;Mâle;timidus;626170;2020/01/23 14:31:20.000;46;2020-04-20;adus;122916;adus_46;;;;;;;
S04_2020;LOT148;lot;3-Exploitable;S04-137;Femelle;timidus;655661;2020/01/23 14:31:20.000;46;2020-04-20;adus;122917;adus_46;;;;;;;
S04_2020;LOT149;lot;3-Exploitable;S04-138;Femelle;timidus;630359;2020/03/09 09:14:49.000;5;2020-04-20;laupon;123253;laupon_5;;;;;;;
S04_2020;LOT150;lot;3-Exploitable;S04-050;Mâle;timidus;655665;2020/01/23 14:31:20.000;46;2020-04-20;adus;123498;adus_46;;;;;;;
S04_2020;LOT151;lot;3-Exploitable;S04-139;Femelle;timidus;628748;2020/03/09 09:54:43.000;5;2020-04-20;laupon;123833;laupon_5;;;;;;;
S04_2020;LOT152;lot;3-Exploitable;S04-049;Mâle;timidus;630281;2020/03/09 09:21:31.000;5;2020-04-20;laupon;123834;laupon_5;;;;;;;
