Session;N_Antagene;Région;Population;Projet;Code_lot ou Code_ech Client;Type analyse;Type prélèvement;Tri;N° Animal 2020;Sexe;Taux d'amplification ou IQ;Marker OK;Nb réplicats;Assignation espèce;Probabilité timidus;CI95_bottom timidus;CI95_up timidus;Commentaires ANTAGENE;LSA2;LSA3;LSA6;LSA8;OCELAMB;OCELS1B;SAT08;SAT12;SAT13;SOL30;SOL33;SOL8;ZFXY-SRY;Nb crottes lot;N_tube ANTAGENE;date_relev;trace_sour;date_creat;nom_maille;id_lot;cod_maille;observateur;commune;lieu-dit;altitude;X;Y;Informations supplémentaires
S04_2020;630349;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-073;Femelle;1;12;1;timidus;0,995;0,937;1;;248248;208218;172172;189191;117125;160162;200200;122130;125127;174182;220220;116116;XX;1;-;2019-12-29;;;;;;Roux;;;2202;982999;6359299;
S04_2020;630350;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-074;Femelle;1;12;1;timidus;0,996;0,949;1;;244248;208218;172172;189191;117117;160172;200200;114122;127127;174174;215220;116118;XX;1;-;2019-12-29;;;;;;Roux;;;2282;982651;6359126;
S04_2020;630351;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-075;Femelle;1;12;1;timidus;0,99;0,87;1;;245248;216218;172172;189191;117117;160162;200200;130130;125129;164174;215218;116118;XX;1;-;2019-12-29;;;;;;Laurent;;Laus;;995563;6356364;
S04_2020;630360;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-076;Femelle;0,923076923076923;11;1;timidus;0,995;0,944;1;;243248;208208;172172;189189;117117;160172;200200;114122;000000;174174;220220;116118;XX;1;-;2019-12-29;;;;;;Roux;;;2387;982672;6358838;
S04_2020;630442;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-077;Mâle;1;12;1;timidus;0,998;0,977;1;;248248;218218;172172;189189;117117;158160;200200;114130;129129;174174;220220;116118;XY;1;-;2020-01-08;;;;;;;;;2728;1005739;6352619;
S04_2020;630443;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-007;Mâle;0,923076923076923;11;1;timidus;0,997;0,959;1;;000000;206206;172172;189189;117117;160172;200200;114118;127129;174174;215220;116116;XY;1;-;2020-01-23;;;;;;;;;2470;1003026;6356363;
S04_2020;630444;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-007;Mâle;0,846153846153846;10;1;timidus;0,996;0,958;1;;000000;206206;172172;189189;117117;160172;200200;114118;000000;174174;215220;116116;XY;1;-;2020-01-23;;;;;;;;;2365;1003239;6355922;
S04_2020;630445;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-007;Mâle;0,923076923076923;11;1;timidus;0,997;0,96;1;;000000;206206;172172;189189;117117;160172;200200;114118;127129;174174;215220;116116;XY;1;-;2020-01-23;;;;;;;;;2239;1002146;6356267;
S04_2020;630446;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-078;Mâle;1;12;1;europaeus;0,005;0;0,072;;257257;208208;172172;191191;117117;160170;200200;122130;122125;186186;218218;110124;XY;1;-;2020-02-06;;;;;;;;;1875;1003504;6350809;
S04_2020;630447;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-079;Mâle;1;12;1;timidus;0,985;0,809;1;;243245;210210;172172;189189;117117;162174;200200;114118;127129;174174;218220;116116;XY;1;-;2020-02-06;;;;;;;;;2019;1004867;6350416;
S04_2020;630448;Mercantour;;F414;;individuelle;fèces silica;3-Exploitable;S04-008;Femelle;1;12;1;timidus;0,998;0,978;1;;248248;206218;172172;189189;117117;160160;200200;114114;129129;174174;220220;116118;XX;1;-;2020-02-06;;;;;;;;;1925;1003870;6351351;
