Session;N_LOT ANTAGENE;N_Antagene associés;Nb crottes lot;Timidus;Europaeus;Conclusion;Commentaire ANTAGENE;trace_sour;date_creat;nom_maille;id_lot;cod_maille;code_lot_Client
S04_2020;LOT245;630423 - 630424 - 630425;3;oui;non;timidus seul;;48;2020-04-20;gipiere;90766;gipiere_48;gipiere_48_90766
S04_2020;LOT246;630509 - 630514 - 630515;3;oui;non;timidus seul;;48;2020-04-20;gipiere;90771;gipiere_48;gipiere_48_90771
S04_2020;LOT247;656152 - 656155 - 656157;3;oui;non;timidus seul;;42;2020-04-20;rougnouse;91274;rougnouse_42;rougnouse_42_91274
S04_2020;LOT248;656200 - 656447 - 656453;3;oui;non;timidus seul;;42;2020-04-20;rougnouse;91848;rougnouse_42;rougnouse_42_91848
S04_2020;LOT249;655778 - 655780 - 655792;3;oui;non;timidus seul;;42;2020-04-20;rougnouse;91851;rougnouse_42;rougnouse_42_91851
S04_2020;LOT250;630418 - 630419 - 630420;3;non;oui;europaeus seul;;48;2020-04-20;gipiere;91928;gipiere_48;gipiere_48_91928
S04_2020;LOT251;655776 - 655777 - 655783;3;oui;non;timidus seul;;42;2020-04-20;rougnouse;92431;rougnouse_42;rougnouse_42_92431
S04_2020;LOT252;628750 - 628752 - 628764;3;non;non;aucune;;34;2020-04-20;pres_hauts;95374;pres_hauts_34;pres_hauts_34_95374
S04_2020;LOT253;656445 - 656450 - 656459;3;oui;non;timidus seul;;34;2020-04-20;pres_hauts;95958;pres_hauts_34;pres_hauts_34_95958
S04_2020;LOT254;550063 - 550073 - 550081;3;non;oui;europaeus seul;silica bleu;38;2020-04-20;villard;108777;villard_38;villard_38_108777
S04_2020;LOT255;550083 - 630600 - 630605;3;oui;non;timidus seul;;27;2020-04-20;serre;115755;serre_27;serre_27_115755
S04_2020;LOT256;628745 - 630356 - 655717;3;oui;non;timidus seul;;5;2020-04-20;laupon;122096;laupon_5;laupon_5_122096
S04_2020;LOT257;655707 - 655712 - 655749;3;oui;non;timidus seul;;5;2020-04-20;laupon;122678;laupon_5;laupon_5_122678
S04_2020;LOT258;628744 - 628756 - 628770;3;oui;non;timidus seul;silica bleu;5;2020-04-20;laupon;123835;laupon_5;laupon_5_123835
S04_2020;LOT259;628763 - 655704 - 656168;3;oui;non;timidus seul;silica bleu;5;2020-04-20;laupon;123836;laupon_5;laupon_5_123836
S04_2020;LOT260;628742 - 655706 - 655710;3;oui;non;timidus seul;silica bleu;5;2020-04-20;laupon;124417;laupon_5;laupon_5_124417
S04_2020;LOT261;655519 - 655521 - 655769;3;non;oui;europaeus seul;;10;2020-04-20;raton;153014;raton_10;raton_10_153014
S04_2020;LOT262;630477 - 630485 - 630501 - 630502;4;oui;non;timidus seul;silica bleu;36;2020-04-20;meyries;41387;meyries_36;meyries_36_41387
S04_2020;LOT263;630322 - 630331 - 630338 - 667719;4;oui;non;timidus seul;;29;2020-04-20;moutiere;71605;moutiere_29;moutiere_29_71605
S04_2020;LOT264;630317 - 630328 - 630336 - 630343;4;oui;non;timidus seul;;29;2020-04-20;moutiere;74515;moutiere_29;moutiere_29_74515
S04_2020;LOT265;655554 - 655564 - 655571 - 655573;4;oui;non;timidus seul;silica bleu;35;2020-04-20;tete_sanguiniere;82642;tete_sanguinere_35;tete_sanguinere_35_82642
S04_2020;LOT266;655508 - 655509 - 655561 - 655569;4;oui;non;timidus seul;;35;2020-04-20;tete_sanguiniere;83806;tete_sanguinere_35;tete_sanguinere_35_83806
S04_2020;LOT267;655784 - 655786 - 655791 - 655795;4;oui;oui;2 espèces;;42;2020-04-20;rougnouse;88951;rougnouse_42;rougnouse_42_88951
S04_2020;LOT268;656150 - 656153 - 656159 - 656160;4;oui;non;timidus seul;;42;2020-04-20;rougnouse;90694;rougnouse_42;rougnouse_42_90694
S04_2020;LOT269;656202 - 655775 - 656446 - 656448;4;oui;non;timidus seul;noté initialement 655202 dans le listing;42;2020-04-20;rougnouse;92430;rougnouse_42;rougnouse_42_92430
S04_2020;LOT270;628757 - 628765 - 656457 - 656458;4;non;non;aucune;;34;2020-04-20;pres_hauts;95375;pres_hauts_34;pres_hauts_34_95375
S04_2020;LOT271;550098 - 550115 - 550116 - 550123;4;non;oui;europaeus seul;;38;2020-04-20;villard;107614;villard_38;villard_38_107614
S04_2020;LOT272;550094 - 550105 - 550117 - 550119;4;non;oui;europaeus seul;;38;2020-04-20;villard;108196;villard_38;villard_38_108196
S04_2020;LOT273;550066 - 550067 - 550103 - 550104;4;non;oui;europaeus seul;;38;2020-04-20;villard;108197;villard_38;villard_38_108197
S04_2020;LOT274;628743 - 628755 - 628772 - 628813;4;oui;non;timidus seul;silica bleu;5;2020-04-20;laupon;123254;laupon_5;laupon_5_123254
S04_2020;LOT275;628944 - 628974 - 628975 - 629005 - 630414;5;non;oui;europaeus seul;;48;2020-04-20;gipiere;92513;gipiere_48;gipiere_48_92513
S04_2020;LOT276;626113 - 655673 - 656156 - 656163 - 656164;5;oui;non;timidus seul;silica bleu;8;2020-04-20;scluos;116512;scluos_8;scluos_8_116512
